,name,value,value,value,value,value,value,value,value
year,,2009,2010,2011,2012,2013,2014,2015,2016
eID,,,,,,,,,
re_99,Lüenburg,114088.05,115535.64375,117327.515625,119564.1,121352.175,123053.625,124898.034375,127019.390625
re_6321,Niedersachsen,4056464,4107934,4171645,4251168,4314744,4375240,4440819,4516245
