%eval_id,interface,innoPriority,mobIncomeShare,memoryTime,connRadius,selfTrust,scenarioFileName,calcResultsScript,o_numCombCars_6321_2012,o_numCombCars_6321_2013,o_numCombCars_6321_2014,o_numCombCars_6321_2015,o_numCombCars_6321_2016,o_numCombCars_6321_2017,o_numElecCars_6321_2012,o_numElecCars_6321_2013,o_numElecCars_6321_2014,o_numElecCars_6321_2015,o_numElecCars_6321_2016,o_numElecCars_6321_2017,o_dataCombCars_6321_2012,o_dataCombCars_6321_2013,o_dataCombCars_6321_2014,o_dataCombCars_6321_2015,o_dataCombCars_6321_2016,o_dataCombCars_6321_2017,o_dataElecCars_6321_2012,o_dataElecCars_6321_2013,o_dataElecCars_6321_2014,o_dataElecCars_6321_2015,o_dataElecCars_6321_2016,o_dataElecCars_6321_2017,o_inIntervalComb_6321_2012,o_inIntervalComb_6321_2013,o_inIntervalComb_6321_2014,o_inIntervalComb_6321_2015,o_inIntervalComb_6321_2016,o_inIntervalComb_6321_2017,o_inIntervalElec_6321_2012,o_inIntervalElec_6321_2013,o_inIntervalElec_6321_2014,o_inIntervalElec_6321_2015,o_inIntervalElec_6321_2016,o_inIntervalElec_6321_2017,
1,NO_ID,0.25,0.25,11,3,2.25,parameters_med.csv,multi-objective-intervals.py,420000,416000,412000,432000,420000,410000,0,0,4000,10000,12000,18000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,
2,NO_ID,0.4166666667,0.25,11,3,2.25,parameters_med.csv,multi-objective-intervals.py,416000,406000,406000,382000,388000,400000,0,0,0,0,2000,10000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,
3,NO_ID,0.08333333333,0.25,11,3,2.25,parameters_med.csv,multi-objective-intervals.py,404000,408000,402000,400000,404000,420000,0,0,0,0,4000,10000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,
4,NO_ID,0.4166666667,0.35,11,3,2.25,parameters_med.csv,multi-objective-intervals.py,446000,442000,440000,444000,438000,424000,0,2000,4000,4000,8000,14000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,
5,NO_ID,0.4166666667,0.15,11,3,2.25,parameters_med.csv,multi-objective-intervals.py,326000,320000,322000,318000,316000,324000,0,0,2000,10000,10000,14000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,0,0,0,0,0,0,0,0,0,0,0,0,
7,NO_ID,0.4166666667,0.35,5,3,2.25,parameters_med.csv,multi-objective-intervals.py,424000,422000,430000,428000,426000,420000,0,0,2000,6000,10000,10000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,
6,NO_ID,0.4166666667,0.35,17,3,2.25,parameters_med.csv,multi-objective-intervals.py,450000,446000,452000,444000,436000,446000,0,2000,4000,6000,14000,18000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,0,
9,NO_ID,0.08333333333,0.25,11,1.666666667,2.25,parameters_med.csv,multi-objective-intervals.py,392000,380000,378000,378000,368000,374000,0,2000,2000,6000,8000,18000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,
8,NO_ID,0.08333333333,0.25,11,4.333333333,2.25,parameters_med.csv,multi-objective-intervals.py,402000,396000,390000,386000,392000,400000,0,2000,0,4000,12000,18000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,
10,NO_ID,0.08333333333,0.25,11,1.666666667,3.416666667,parameters_med.csv,multi-objective-intervals.py,416000,418000,420000,416000,412000,418000,0,0,0,2000,8000,6000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,
11,NO_ID,0.08333333333,0.25,11,1.666666667,1.083333333,parameters_med.csv,multi-objective-intervals.py,430000,424000,418000,414000,428000,418000,0,0,0,2000,2000,8000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,
12,NO_ID,0.3055555556,0.25,11,3,2.25,parameters_med.csv,multi-objective-intervals.py,388000,378000,366000,368000,364000,364000,0,0,0,0,2000,24000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,
13,NO_ID,0.1944444444,0.25,11,3,2.25,parameters_med.csv,multi-objective-intervals.py,384000,394000,392000,390000,376000,392000,0,0,2000,4000,12000,14000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,
14,NO_ID,0.4166666667,0.35,11,4.333333333,2.25,parameters_med.csv,multi-objective-intervals.py,428000,436000,436000,430000,432000,428000,0,0,4000,8000,8000,24000,4251168,4314744,4375240,4440819,4516245,4514491,436,705,1699,2006,2484,3076,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,
